n,nb_hat,r1_radius,r1_nb_lo,r1_nb_hi,r2_nb_lo,r2_nb_hi,succ_diff_hat,r1_sd_lo,r1_sd_hi,r2_sd_lo,r2_sd_hi,r2_wr_lo,r2_wr_hi
24,-0.6666666666666666,1.1559143018037255,-1.0,0.4892476351370588,-1.0,0.14234625796477002,-0.125,-1.0,1.0,-0.8713894598186016,0.6255193147808313,0.0,1.3319434195599251
25,-0.6,1.114863946714772,-1.0,0.5148639467147721,-1.0,0.19366421699523928,-0.08,-1.0,1.0,-0.8027124553918839,0.6459741270542143,0.0,1.4803562512718005
26,-0.5384615384615384,1.076953715070353,-1.0,0.5384921766088145,-1.0,0.23870744613500744,-0.038461538461538464,-1.0,1.0,-0.7393568834433188,0.6642584325029299,0.0,1.6271109442043477
27,-0.5555555555555556,1.0418348959413817,-1.0,0.4862793403858261,-1.0,0.19578683376312253,-0.037037037037037035,-1.0,1.0,-0.7102795596475957,0.6378286105615123,0.0,1.4869028311965107
28,-0.5714285714285714,1.0092085907275499,-1.0,0.4377800192989785,-1.0,0.1559872095073973,-0.03571428571428571,-1.0,0.9734943050132642,-0.6834311075508595,0.6134415811726026,0.0,1.3696323355866595
29,-0.5517241379310345,0.9788171249153199,-1.0,0.42709298698428544,-1.0,0.1500211661231929,-0.034482758620689655,-1.0,0.9443343662946303,-0.6585629664618395,0.5908680763737909,0.0,1.3696323355866595
30,-0.5666666666666667,0.9504371774813313,-1.0,0.3837705108146646,-1.0,0.11457714736461641,-0.03333333333333333,-0.9837705108146646,0.917103844147998,-0.6354623744885124,0.5699120263258618,0.0,1.2700696881164633
31,-0.5806451612903226,0.9238742400859197,-1.0,0.34322907879559705,-1.0,0.08142983528875532,-0.03225806451612903,-0.9561323046020487,0.8916161755697907,-0.6139460657873463,0.5504047024634575,0.0,1.1844638173233137
32,-0.59375,0.8989581151652786,-1.0,0.30520811516527857,-1.0,0.050355741288512945,-0.03125,-0.9302081151652786,0.8677081151652786,-0.5938553912565112,0.5322001166641712,0.0,1.1100543334926831
33,-0.5454545454545454,0.8755392325499204,-1.0,0.330084687095375,-1.0,0.09163225780833853,0.0,-0.8755392325499204,0.8755392325499204,-0.5508666038513184,0.5508666038513184,0.0,1.2093417369205395
34,-0.5,0.8534856160894154,-1.0,0.3534856160894154,-1.0,0.1291404440999031,0.029411764705882353,-0.8240738513835331,0.8828973807952978,-0.5103434539016554,0.5680548618821537,0.0,1.3077140829910814
35,-0.5142857142857142,0.8326803702822385,-1.0,0.3183946559965243,-1.0,0.1002869295222419,0.02857142857142857,-0.8041089417108099,0.8612517988536671,-0.49511060033525733,0.5512620151042937,0.0,1.2307769935595403
36,-0.5,0.8130195857987004,-1.0,0.3130195857987004,-1.0,0.09731098264455795,0.027777777777777776,-0.7852418080209226,0.8407973635764782,-0.48076930228206843,0.5354451487461726,0.0,1.2307769935595403
37,-0.4864864864864865,0.794410584646995,-1.0,0.3079240981605085,-1.0,0.09450712236198217,0.02702702702702703,-0.7673835576199679,0.8214376116740221,-0.4672430318755073,0.5205209512968321,0.0,1.2307769935595403
38,-0.47368421052631576,0.7767704424165977,-1.0,0.3030862318902819,-0.9803402235633449,0.09186082450967092,0.02631578947368421,-0.7504546529429135,0.8030862318902818,-0.45446380972862244,0.5064153475196739,0.0,1.2307769935595403
39,-0.48717948717948717,0.760024737867243,-1.0,0.27284525068775584,-0.9809170839114068,0.06702299759938163,0.0,-0.760024737867243,0.760024737867243,-0.47271205484867096,0.47271205484867096,0.0,1.1627104683531944
40,-0.5,0.7441064900780697,-1.0,0.24410649007806973,-0.9814610481262207,0.04338259994983673,-0.025,-0.7691064900780697,0.7191064900780697,-0.48973154127597807,0.440620844438672,0.0,1.102051173302455
