scenario,rule,event,replicate,first_crossing_runs_per_arm,noncompliant_a,noncompliant_b,u_compliance,variance_estimate,statistic,boundary,statistic_kind
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7608,2000,18,16,-0.0010000000000000009,8.431715857928974e-06,3.099449238641128,2.362561269455541,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7614,9000,107,44,-0.006999999999999895,1.8460418784529118e-06,2.2080071745000125,2.171334570077069,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7627,2000,18,11,-0.0035000000000000586,7.1979739869934195e-06,2.4227478689612534,2.362561269455541,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7668,2000,19,14,-0.0024999999999999467,8.184467233616778e-06,2.6215977534906734,2.362561269455541,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7673,7000,87,46,-0.005857142857142894,2.686433338873501e-06,2.5276208180591246,2.2043984518219175,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7692,6000,68,32,-0.006000000000000005,2.752088311014752e-06,2.411175424144166,2.225125228345559,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7697,2000,24,22,-0.0010000000000000009,1.1373186593296655e-05,2.6687102718475963,2.362561269455541,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7720,10000,126,55,-0.007099999999999995,1.7912781278127578e-06,2.1667883225487987,2.157872091494009,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7740,9000,102,39,-0.007000000000000006,1.7245743354199536e-06,2.2844428371984917,2.171334570077069,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7761,5000,64,37,-0.005400000000000071,3.997079415883147e-06,2.300840128023668,2.2497804226445255,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7773,1000,9,12,0.0030000000000000027,2.0795795795795773e-05,2.8507266791605943,2.412201675481822,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7779,6000,68,30,-0.006333333333333302,2.6970976644255214e-06,2.232662582124517,2.225125228345559,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7780,1000,7,7,0.0,1.391591591591596e-05,2.680674616681012,2.412201675481822,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7820,2000,14,11,-0.0015000000000000568,6.213481740870378e-06,3.409976707672813,2.362561269455541,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7829,2000,20,16,-0.0020000000000000018,8.922461230615314e-06,2.678228654153548,2.362561269455541,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7849,10000,121,52,-0.006900000000000017,1.712826282628258e-06,2.3686725908433903,2.157872091494009,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7851,10000,117,49,-0.006800000000000028,1.6440744074407583e-06,2.495681983668459,2.157872091494009,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7913,5000,69,43,-0.005199999999999982,4.428005601120256e-06,2.281062351354538,2.2497804226445255,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7928,4000,46,27,-0.004749999999999921,4.519176669167302e-06,2.469617213644013,2.27966933762555,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7938,1000,8,9,0.0010000000000000009,1.6871871871871888e-05,2.678002948532073,2.412201675481822,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7940,9000,113,51,-0.006888888888888833,2.003830329570228e-06,2.1977842109093078,2.171334570077069,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7947,7000,78,39,-0.0055714285714285605,2.3659210791045726e-06,2.8791449308568473,2.2043984518219175,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7968,4000,48,30,-0.0045000000000000595,4.826144036008978e-06,2.5035862048835837,2.27966933762555,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7991,1000,5,3,-0.0020000000000000018,7.973973973973868e-06,2.8330391758021154,2.412201675481822,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),7993,6000,74,38,-0.006000000000000005,3.0795873386304785e-06,2.2793642300162493,2.225125228345559,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8002,1000,7,7,0.0,1.391591591591596e-05,2.680674616681012,2.412201675481822,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8008,4000,43,23,-0.0050000000000000044,4.088865966491671e-06,2.4726837062023774,2.27966933762555,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8051,7000,85,42,-0.006142857142857117,2.5659963085105278e-06,2.407895918169728,2.2043984518219175,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8061,5000,60,34,-0.005199999999999982,3.7226965393078806e-06,2.4877825635597395,2.2497804226445255,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8082,6000,74,38,-0.006000000000000005,3.0795873386304785e-06,2.2793642300162493,2.225125228345559,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8098,3000,33,20,-0.0043333333333333,5.83568596939729e-06,2.3457499183755446,2.316614868579364,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8126,2000,16,9,-0.0035000000000000586,6.2109804902450675e-06,2.608154258977844,2.362561269455541,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8127,3000,29,18,-0.003666666666666707,5.1808010077433235e-06,2.782491782796242,2.316614868579364,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8139,9000,112,50,-0.006888888888888944,1.9795834653781936e-06,2.2112029905850834,2.171334570077069,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8177,4000,43,23,-0.0050000000000000044,4.088865966491671e-06,2.4726837062023774,2.27966933762555,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8185,8000,101,53,-0.006000000000000005,2.381137485935738e-06,2.5921955173768136,2.1866853049598176,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8190,5000,54,31,-0.0046000000000000485,3.3696579315862993e-06,2.941716739563134,2.2497804226445255,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8194,7000,78,36,-0.006000000000000005,2.3053439121040476e-06,2.634463160645405,2.2043984518219175,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8200,3000,36,24,-0.0040000000000000036,6.59953317772588e-06,2.3355794324680637,2.316614868579364,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8216,10000,130,62,-0.006800000000000028,1.8994459445944644e-06,2.3218625620102245,2.157872091494009,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8231,1000,5,6,0.0010000000000000009,1.09499499499498e-05,3.324195965779543,2.412201675481822,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8249,2000,21,16,-0.0024999999999999467,9.167458729364667e-06,2.477061456319798,2.362561269455541,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8255,10000,131,61,-0.007000000000000006,1.8993079307930782e-06,2.1768252374159287,2.157872091494009,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8268,3000,38,27,-0.003666666666666707,7.144122114779077e-06,2.3695065390984955,2.316614868579364,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8293,9000,111,52,-0.006555555555555537,1.9919565822814186e-06,2.440502463352047,2.171334570077069,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8315,3000,33,22,-0.003666666666666707,6.054870141899157e-06,2.5738304205542253,2.316614868579364,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8321,3000,35,23,-0.0040000000000000036,6.381608684376379e-06,2.375123328666562,2.316614868579364,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8323,1000,9,11,0.0020000000000000018,1.981781781781782e-05,2.695586857047883,2.412201675481822,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8325,3000,31,20,-0.003666666666666596,5.618131969915936e-06,2.6719995333227593,2.316614868579364,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8333,5000,53,26,-0.005400000000000071,3.1327465493098936e-06,2.5989337056806776,2.2497804226445255,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8363,7000,89,46,-0.006142857142857117,2.72622911144741e-06,2.3360629881352506,2.2043984518219175,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8399,1000,6,7,0.0010000000000000009,1.2927927927927893e-05,3.059343374244403,2.412201675481822,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8432,8000,98,44,-0.006750000000000034,2.196485498187243e-06,2.1929018343465874,2.1866853049598176,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8445,7000,80,34,-0.006571428571428561,2.3048307192572952e-06,2.2583626617168613,2.2043984518219175,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8481,3000,31,17,-0.004666666666666597,5.288799970360507e-06,2.319103637455875,2.316614868579364,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8542,5000,52,22,-0.006000000000000005,2.9350830166032834e-06,2.334800601936065,2.2497804226445255,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8552,4000,47,30,-0.004250000000000087,4.765113153288316e-06,2.63409379761581,2.27966933762555,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8564,2000,18,11,-0.0035000000000000586,7.1979739869934195e-06,2.4227478689612534,2.362561269455541,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8571,6000,89,56,-0.00550000000000006,3.977250838102626e-06,2.2564256230993687,2.225125228345559,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8602,1000,7,9,0.0020000000000000018,1.588588588588589e-05,3.010755766174645,2.412201675481822,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8620,2000,22,17,-0.0025000000000000577,9.658204102051007e-06,2.413309785885626,2.362561269455541,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8622,5000,58,31,-0.005400000000000071,3.5261052210442174e-06,2.4496847455507216,2.2497804226445255,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8656,3000,32,23,-0.0030000000000000027,6.05561112963591e-06,2.8445858853299497,2.316614868579364,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8682,5000,60,37,-0.0046000000000000485,3.841016203240604e-06,2.755311407094231,2.2497804226445255,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8685,2000,18,13,-0.0025000000000000577,7.69222111055523e-06,2.704178675255159,2.362561269455541,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8732,5000,64,37,-0.005400000000000071,3.997079415883147e-06,2.300840128023668,2.2497804226445255,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8754,1000,6,5,-0.0010000000000000009,1.09499499499498e-05,2.719796699274171,2.412201675481822,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8779,5000,66,39,-0.00539999999999996,4.1538147629525876e-06,2.2570140829476477,2.2497804226445255,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8784,4000,42,22,-0.0050000000000000044,3.965866466616604e-06,2.5107354857624156,2.27966933762555,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8805,1000,7,8,0.0010000000000000009,1.490190190190196e-05,2.8495208239120626,2.412201675481822,z vs boundary
compliance_boundary,allpairs_gs_pocock,false rejection of the component compliance gate (first crossing),8827,3000,33,20,-0.0043333333333333,5.83568596939729e-06,2.3457499183755446,2.316614868579364,z vs boundary
