scenario,replicates,true_net_benefit,true_success_difference,true_safety_difference,boundary_gate,admissible,method,convention,deployments,deployment_rate,rate_ci_lower,rate_ci_upper,mean_runs_per_arm_used
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,gate_success_allpairs_asympcs_projection_gaussian,"single gate, ever rejected by n = 10000",9847,0.9847,0.9821014234948727,0.9869263284845934,
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,gate_compliance_allpairs_asympcs_projection_gaussian,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,gate_nb_disjoint_gs_obf,"single gate, ever rejected by n = 10000",538,0.0538,0.04954674862078317,0.05839593152520862,
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,gate_success_disjoint_gs_obf,"single gate, ever rejected by n = 10000",9990,0.999,0.9981600556125619,0.9994567140135028,
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,gate_compliance_disjoint_gs_obf,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,gate_nb_disjoint_betting,"single gate, ever rejected by n = 10000",92,0.0092,0.007508093306449299,0.011268839494206847,
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,gate_success_disjoint_betting,"single gate, ever rejected by n = 10000",9711,0.9711,0.9676313089835055,0.9742068877516429,
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,gate_compliance_disjoint_betting,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,win_only_allpairs_fixed_wald,single gate (convention-free),523,0.0523,0.04810587403933279,0.05683795810177102,10000.0
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,guarded_allpairs_fixed_wald,single look (conventions coincide),523,0.0523,0.04810587403933279,0.05683795810177102,10000.0
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,win_only_allpairs_gs_obf,single gate (convention-free),505,0.0505,0.0463781434893128,0.05496707104592546,9887.0
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,guarded_allpairs_gs_obf_simultaneous,simultaneous (same-look conjunction; paper convention),505,0.0505,0.0463781434893128,0.05496707104592546,9887.0
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,guarded_allpairs_gs_obf_retained,retained (each gate keeps its first crossing),505,0.0505,0.0463781434893128,0.05496707104592546,9887.0
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,win_only_allpairs_gs_pocock,single gate (convention-free),545,0.0545,0.05021948667736563,0.059122655870907204,9708.9
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,guarded_allpairs_gs_pocock_simultaneous,simultaneous (same-look conjunction; paper convention),537,0.0537,0.049450660112119696,0.05829209683354622,9717.4
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,guarded_allpairs_gs_pocock_retained,retained (each gate keeps its first crossing),545,0.0545,0.05021948667736563,0.059122655870907204,9710.3
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,win_only_allpairs_gs_hsd,single gate (convention-free),494,0.0494,0.04532304560552551,0.05382301372612823,9879.3
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,guarded_allpairs_gs_hsd_simultaneous,simultaneous (same-look conjunction; paper convention),494,0.0494,0.04532304560552551,0.05382301372612823,9879.3
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,guarded_allpairs_gs_hsd_retained,retained (each gate keeps its first crossing),494,0.0494,0.04532304560552551,0.05382301372612823,9879.3
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,win_only_allpairs_asympcs_projection_gaussian,single gate (convention-free),309,0.0309,0.027684349146600024,0.03447591812476875,9750.03
tie_heavy_null,10000,-4.946168474795342e-18,0.0,0.0,nb,False,guarded_allpairs_asympcs_projection_gaussian_simultaneous,simultaneous (same-look conjunction; paper convention),252,0.0252,0.02230561215682308,0.02845903269597141,9807.345
