n,nb_hat,nb_lo,nb_hi,succ_hat,succ_lo,succ_hi
25,0.4,-0.2773443603515625,1.0,0.32,-0.31218811035156246,0.9442120361328125
50,0.14,-0.2669573974609375,0.5314892578125,0.08,-0.26673156738281245,0.42442199707031236
75,0.16,-0.15712280273437504,0.45999328613281243,0.06666666666666667,-0.18345275878906242,0.31561523437500005
100,0.15,-0.1244769287109375,0.4091479492187499,0.03,-0.17499450683593742,0.23454223632812501
125,0.176,-0.07036926269531245,0.40634948730468756,0.032,-0.140693359375,0.20455322265624998
150,0.16,-0.06687805175781246,0.37398193359375015,0.0,-0.14999267578125003,0.14999267578125014
175,0.11428571428571428,-0.09390624999999997,0.31456298828125,-0.011428571428571429,-0.14943725585937503,0.1265386962890626
200,0.15,-0.04456542968749999,0.3354687500000001,0.02,-0.1086480712890625,0.14870483398437515
225,0.1288888888888889,-0.05519897460937494,0.30596557617187503,0.017777777777777778,-0.10015441894531248,0.13584594726562513
250,0.128,-0.04509826660156248,0.294915771484375,0.012,-0.09659362792968747,0.12074340820312512
275,0.13090909090909092,-0.03245300292968753,0.28861755371093756,0.007272727272727273,-0.09363586425781247,0.10829895019531259
300,0.13333333333333333,-0.023959960937500024,0.285289306640625,0.006666666666666667,-0.09068115234374996,0.10410644531250007
325,0.12923076923076923,-0.022000122070312517,0.2756756591796875,-0.006153846153846154,-0.10138244628906247,0.08901123046875006
350,0.14,-0.005375976562500005,0.28057617187500006,0.008571428571428572,-0.08401428222656246,0.10122863769531258
375,0.12,-0.02016601562500002,0.2563385009765625,0.0026666666666666666,-0.08553222656249995,0.0908917236328126
400,0.125,-0.01149108886718751,0.25771301269531244,0.01,-0.07537292480468745,0.09546630859375008
425,0.13647058823529412,0.0036950683593750034,0.2653411865234375,0.011764705882352941,-0.07175354003906244,0.09537597656250008
450,0.13777777777777778,0.009168701171875009,0.26268249511718755,0.011111111111111112,-0.06909484863281244,0.09141601562500007
475,0.15578947368421053,0.030453491210937524,0.277139892578125,0.02526315789473684,-0.053290405273437425,0.10401184082031258
500,0.154,0.03234863281250003,0.27193420410156255,0.032,-0.045303344726562486,0.1095086669921876
525,0.13714285714285715,0.018676147460937514,0.2524713134765625,0.02666666666666667,-0.04904907226562494,0.10253845214843758
550,0.14181818181818182,0.025789184570312526,0.25473388671875,0.02727272727272727,-0.046654052734374965,0.10135498046875008
575,0.14956521739130435,0.03588256835937503,0.26009277343750004,0.03304347826086956,-0.03937866210937503,0.1056408691406251
600,0.12666666666666668,0.015106811523437513,0.23565856933593743,0.021666666666666667,-0.04950134277343744,0.09294006347656257
625,0.128,0.018202514648437515,0.23528625488281252,0.0208,-0.049082031249999936,0.0907763671875001
650,0.13076923076923078,0.02349609375000002,0.235589599609375,0.024615384615384615,-0.043468017578125004,0.09281921386718757
675,0.1288888888888889,0.023823852539062523,0.23163330078125,0.025185185185185185,-0.04158935546875002,0.09207946777343759
700,0.1357142857142857,0.03281799316406253,0.23626281738281252,0.02857142857142857,-0.03694152832031253,0.09421752929687507
725,0.13655172413793104,0.03544128417968753,0.23538024902343746,0.028965517241379312,-0.035067138671875026,0.09314025878906258
750,0.13733333333333334,0.03811096191406253,0.23434448242187503,0.025333333333333333,-0.03749206542968754,0.08828308105468759
775,0.14193548387096774,0.04427246093750004,0.23738281249999998,0.03225806451612903,-0.029899902343750027,0.0945568847656251
800,0.12875,0.032381591796875026,0.22316406249999995,0.02625,-0.03509399414062503,0.08770202636718756
825,0.13575757575757577,0.04084228515625003,0.22867248535156248,0.027878787878787878,-0.03184997558593752,0.08773864746093758
850,0.1388235294117647,0.04534301757812505,0.23031860351562497,0.029411764705882353,-0.02953979492187503,0.08849426269531259
875,0.1337142857142857,0.04144287109375003,0.22412353515625,0.02857142857142857,-0.029650878906250025,0.08691467285156258
900,0.12777777777777777,0.03687866210937503,0.21695007324218746,0.028888888888888888,-0.028507690429687524,0.08640502929687507
925,0.1254054054054054,0.035783691406250026,0.21337951660156246,0.02918918918918919,-0.027849121093750026,0.08633300781250008
950,0.12210526315789473,0.033499145507812536,0.20914428710937497,0.02631578947368421,-0.029865722656250027,0.08259338378906257
975,0.12,0.03245056152343753,0.20604614257812495,0.022564102564102566,-0.03290283203125004,0.07811096191406257
1000,0.118,0.031593627929687534,0.20296630859374992,0.021,-0.03376464843750003,0.07583740234375008
