scenario,family,cell_kind,rule,replicates,max_pairs,final_running_net_benefit,final_running_success_diff,final_running_compliance_diff,fixed_gate_conditional_null_every_step,looks_with_running_violation,total_looks,ever_deploy_count,ever_deploy_rate,ever_deploy_lo,ever_deploy_hi,E_running_first_count,E_running_first_rate,E_running_first_lo,E_running_first_hi,E_running_any_count,E_running_any_rate,E_running_any_lo,E_running_any_hi,E_current_first_count,E_current_first_rate,E_current_first_lo,E_current_first_hi,mean_pairs_used,mean_pairs_mcse,mean_executions_used,median_pairs_among_deployments
A2_success_boundary,A,null,guarded_repeated_wald,10000,10000,0.36369596768729673,-0.029999999999996897,0.0,True,199,199,3052,0.3052,0.2962507468871922,0.31429885887802333,3052,0.3052,0.2962507468871922,0.31429885887802333,3052,0.3052,0.2962507468871922,0.31429885887802333,3052,0.3052,0.2962507468871922,0.31429885887802333,7648.505,38.072704809318445,15297.01,1200.0
A2_success_boundary,A,null,guarded_group_bonferroni_wald,10000,10000,0.36369596768729673,-0.029999999999996897,0.0,True,199,199,217,0.0217,0.01902260420448802,0.02474472863690121,217,0.0217,0.01902260420448802,0.02474472863690121,217,0.0217,0.01902260420448802,0.02474472863690121,217,0.0217,0.01902260420448802,0.02474472863690121,9885.8,8.781562275586356,19771.6,4000.0
A2_success_boundary,A,null,guarded_fixed_wald,10000,10000,0.36369596768729673,-0.029999999999996897,0.0,True,199,199,508,0.0508,0.04666599590665272,0.05527898822956311,508,0.0508,0.04666599590665272,0.05527898822956311,508,0.0508,0.04666599590665272,0.05527898822956311,508,0.0508,0.04666599590665272,0.05527898822956311,10000.0,0.0,20000.0,10000.0
A3_compliance_boundary,A,null,win_only_betting,10000,10000,0.39622952109872756,0.0,-0.010000000000001426,True,0,199,10000,1.0,0.9996160016293234,1.0,0,0.0,0.0,0.00038399837067659573,0,0.0,0.0,0.00038399837067659573,0,0.0,0.0,0.00038399837067659573,102.05,0.10261457011555454,204.1,100.0
A3_compliance_boundary,A,null,win_only_normal_mixture,10000,10000,0.39622952109872756,0.0,-0.010000000000001426,True,0,199,10000,1.0,0.9996160016293234,1.0,0,0.0,0.0,0.00038399837067659573,0,0.0,0.0,0.00038399837067659573,0,0.0,0.0,0.00038399837067659573,106.21,0.1696867407901991,212.42,100.0
A3_compliance_boundary,A,null,guarded_betting,10000,10000,0.39622952109872756,0.0,-0.010000000000001426,True,199,199,38,0.0038,0.002769903124779159,0.005211176858280293,38,0.0038,0.002769903124779159,0.005211176858280293,38,0.0038,0.002769903124779159,0.005211176858280293,38,0.0038,0.002769903124779159,0.005211176858280293,9981.42,3.434389081044874,19962.84,5475.0
A3_compliance_boundary,A,null,guarded_betting_split,10000,10000,0.39622952109872756,0.0,-0.010000000000001426,True,199,199,10,0.001,0.0005432859864972464,0.0018399443874379962,10,0.001,0.0005432859864972464,0.0018399443874379962,10,0.001,0.0005432859864972464,0.0018399443874379962,10,0.001,0.0005432859864972464,0.0018399443874379962,9996.665,1.2827559306034662,19993.33,7200.0
A3_compliance_boundary,A,null,guarded_normal_mixture,10000,10000,0.39622952109872756,0.0,-0.010000000000001426,True,199,199,0,0.0,0.0,0.00038399837067659573,0,0.0,0.0,0.00038399837067659573,0,0.0,0.0,0.00038399837067659573,0,0.0,0.0,0.00038399837067659573,10000.0,0.0,20000.0,
A3_compliance_boundary,A,null,guarded_normal_mixture_split,10000,10000,0.39622952109872756,0.0,-0.010000000000001426,True,199,199,0,0.0,0.0,0.00038399837067659573,0,0.0,0.0,0.00038399837067659573,0,0.0,0.0,0.00038399837067659573,0,0.0,0.0,0.00038399837067659573,10000.0,0.0,20000.0,
A3_compliance_boundary,A,null,guarded_repeated_wald,10000,10000,0.39622952109872756,0.0,-0.010000000000001426,True,199,199,2977,0.2977,0.28881719278233836,0.30673817295843736,2977,0.2977,0.28881719278233836,0.30673817295843736,2977,0.2977,0.28881719278233836,0.30673817295843736,2977,0.2977,0.28881719278233836,0.30673817295843736,7765.305,36.95283684235216,15530.61,1500.0
