arm,episodes,successes,model_calls,prompt_tokens,completion_tokens,total_tokens,latency_sum_s,latency_mean_s,latency_median_s,n_executions_including_verifier,selftest_executions,verify_seconds_sum,estimated_token_episodes,timed_out,error_episodes
A,591,433,591,71218,41491,112709,1654.5986205209047,2.7996592563805494,2.079464666545391,591,0,31.36548403929919,0,2,0
B,591,433,1748,528191,185088,713279,7373.376646980643,12.47610261756454,10.131067499518394,1748,1157,9.67181489802897,0,0,0
