scenario,method,gate,threshold,true_value,gate_true,rejections,rejection_rate,rate_ci_lower,rate_ci_upper
success_regression,allpairs_asympcs,nb,0.0,0.3106364816712778,True,2000,1.0,0.9980829527187469,0.9999999999999998
success_regression,allpairs_asympcs,success,-0.03,-0.09999999999999998,False,0,0.0,1.0842021724855044e-19,0.001917047281252934
success_regression,allpairs_asympcs,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
success_regression,disjoint_gs_obf,nb,0.0,0.3106364816712778,True,2000,1.0,0.9980829527187469,0.9999999999999998
success_regression,disjoint_gs_obf,success,-0.03,-0.09999999999999998,False,0,0.0,1.0842021724855044e-19,0.001917047281252934
success_regression,disjoint_gs_obf,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
success_regression,disjoint_betting,nb,0.0,0.3106364816712778,True,2000,1.0,0.9980829527187469,0.9999999999999998
success_regression,disjoint_betting,success,-0.03,-0.09999999999999998,False,0,0.0,1.0842021724855044e-19,0.001917047281252934
success_regression,disjoint_betting,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
safety_regression,allpairs_fixed_wald,nb,0.0,0.41052398770291293,True,2000,1.0,0.9980829527187469,0.9999999999999998
safety_regression,allpairs_fixed_wald,success,-0.03,0.0,True,1998,0.999,0.9963610657309615,0.9997257210823479
safety_regression,allpairs_fixed_wald,compliance,-0.01,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934
safety_regression,allpairs_gs_obf,nb,0.0,0.41052398770291293,True,2000,1.0,0.9980829527187469,0.9999999999999998
safety_regression,allpairs_gs_obf,success,-0.03,0.0,True,1997,0.9985,0.9955989674442294,0.9994897364163615
safety_regression,allpairs_gs_obf,compliance,-0.01,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934
safety_regression,allpairs_gs_pocock,nb,0.0,0.41052398770291293,True,2000,1.0,0.9980829527187469,0.9999999999999998
safety_regression,allpairs_gs_pocock,success,-0.03,0.0,True,1997,0.9985,0.9955989674442294,0.9994897364163615
safety_regression,allpairs_gs_pocock,compliance,-0.01,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934
safety_regression,allpairs_gs_hsd,nb,0.0,0.41052398770291293,True,2000,1.0,0.9980829527187469,0.9999999999999998
safety_regression,allpairs_gs_hsd,success,-0.03,0.0,True,1997,0.9985,0.9955989674442294,0.9994897364163615
safety_regression,allpairs_gs_hsd,compliance,-0.01,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934
safety_regression,allpairs_asympcs,nb,0.0,0.41052398770291293,True,2000,1.0,0.9980829527187469,0.9999999999999998
safety_regression,allpairs_asympcs,success,-0.03,0.0,True,1970,0.985,0.9786675621742913,0.9894729019628932
safety_regression,allpairs_asympcs,compliance,-0.01,-0.020000000000000018,False,9,0.0045,0.0023692806369618345,0.008530513218759823
safety_regression,disjoint_gs_obf,nb,0.0,0.41052398770291293,True,2000,1.0,0.9980829527187469,0.9999999999999998
safety_regression,disjoint_gs_obf,success,-0.03,0.0,True,1997,0.9985,0.9955989674442294,0.9994897364163615
safety_regression,disjoint_gs_obf,compliance,-0.01,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934
safety_regression,disjoint_betting,nb,0.0,0.41052398770291293,True,2000,1.0,0.9980829527187469,0.9999999999999998
safety_regression,disjoint_betting,success,-0.03,0.0,True,1948,0.974,0.9660647268553368,0.9801179123220352
safety_regression,disjoint_betting,compliance,-0.01,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934
joint_gain,allpairs_fixed_wald,nb,0.0,0.30597669413889983,True,2000,1.0,0.9980829527187469,0.9999999999999998
joint_gain,allpairs_fixed_wald,success,-0.03,0.08999999999999997,True,2000,1.0,0.9980829527187469,0.9999999999999998
