scenario,method,replicates,deployments,deployment_rate,rate_ci_lower,rate_ci_upper
tie_heavy_null,gate_nb_allpairs_gs_obf,10000,505,0.0505,0.0463781434893128,0.05496707104592546
tie_heavy_null,gate_success_allpairs_gs_obf,10000,9978,0.9978,0.9966710407999471,0.9985466504222074
tie_heavy_null,gate_compliance_allpairs_gs_obf,10000,10000,1.0,0.9996160016293234,1.0
tie_heavy_null,gate_nb_allpairs_gs_pocock,10000,545,0.0545,0.05021948667736563,0.059122655870907204
tie_heavy_null,gate_success_allpairs_gs_pocock,10000,9953,0.9953,0.9937561129811471,0.9964634982328605
tie_heavy_null,gate_compliance_allpairs_gs_pocock,10000,10000,1.0,0.9996160016293234,1.0
tie_heavy_null,gate_nb_allpairs_gs_hsd,10000,494,0.0494,0.04532304560552551,0.05382301372612823
tie_heavy_null,gate_success_allpairs_gs_hsd,10000,9979,0.9979,0.9967916061274641,0.9986260082950161
tie_heavy_null,gate_compliance_allpairs_gs_hsd,10000,10000,1.0,0.9996160016293234,1.0
tie_heavy_null,gate_nb_allpairs_asympcs,10000,309,0.0309,0.027684349146600024,0.03447591812476875
tie_heavy_null,gate_success_allpairs_asympcs,10000,9683,0.9683,0.9646822658017162,0.9715580813243081
tie_heavy_null,gate_compliance_allpairs_asympcs,10000,10000,1.0,0.9996160016293234,1.0
tie_heavy_null,gate_nb_disjoint_gs_obf,10000,501,0.0501,0.04599440546592007,0.05455111626801472
tie_heavy_null,gate_success_disjoint_gs_obf,10000,9978,0.9978,0.9966710407999471,0.9985466504222074
tie_heavy_null,gate_compliance_disjoint_gs_obf,10000,10000,1.0,0.9996160016293234,1.0
tie_heavy_null,gate_nb_disjoint_betting,10000,80,0.008,0.006433050051197009,0.00994480434554876
tie_heavy_null,gate_success_disjoint_betting,10000,9423,0.9423,0.9375577281313293,0.9467025869099702
tie_heavy_null,gate_compliance_disjoint_betting,10000,10000,1.0,0.9996160016293234,1.0
