scenario,method,replicates,max_runs_per_arm,true_net_benefit,true_success_difference,true_safety_difference,admissible,deployments,deployment_rate,rate_ci_lower,rate_ci_upper,mean_runs_per_arm_used,mean_runs_mcse,median_runs_among_deployments
efficiency_gain,guarded_allpairs_gs_hsd,2000,10000,0.36248777333180304,0.0,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944,3923.5,36.64456132907038,4000.0
efficiency_gain,guarded_allpairs_gs_hsd_simultaneous,2000,10000,0.36248777333180304,0.0,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944,3932.0,36.588085492411324,4000.0
efficiency_gain,win_only_allpairs_asympcs,2000,10000,0.36248777333180304,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,105.825,0.3887926021672732,100.0
efficiency_gain,guarded_allpairs_asympcs,2000,10000,0.36248777333180304,0.0,0.0,True,1963,0.9815,0.9746052332822633,0.9865486501858901,3258.625,51.31309218598602,2550.0
efficiency_gain,guarded_allpairs_asympcs_simultaneous,2000,10000,0.36248777333180304,0.0,0.0,True,1963,0.9815,0.9746052332822633,0.9865486501858901,3359.0,50.87662282424021,2700.0
efficiency_gain,win_only_disjoint_gs_obf,2000,10000,0.36248777333180304,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
efficiency_gain,guarded_disjoint_gs_obf,2000,10000,0.36248777333180304,0.0,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944,4471.5,28.793990258385517,4000.0
efficiency_gain,win_only_disjoint_betting,2000,10000,0.36248777333180304,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,117.575,0.6972694511449645,100.0
efficiency_gain,guarded_disjoint_betting,2000,10000,0.36248777333180304,0.0,0.0,True,1933,0.9665,0.9576766713572294,0.9735347235293615,4260.3,53.02681590478539,3650.0
efficiency_gain,guarded_disjoint_betting_simultaneous,2000,10000,0.36248777333180304,0.0,0.0,True,1932,0.966,0.9571215720934327,0.9730917398404393,4361.825,51.905305217169285,3750.0
efficiency_gain,win_only_disjoint_betting_simultaneous,2000,10000,0.36248777333180304,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,117.575,0.6972694511449645,100.0
success_regression,win_only_allpairs_fixed_wald,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,2000,1.0,0.9980829527187469,0.9999999999999998,10000.0,0.0,10000.0
