scenario,theta_exact,mean_U_allpairs,mean_U_disjoint,empirical_var_U_allpairs,mean_estimated_var_U_allpairs,empirical_var_U_disjoint,mean_var_h_over_n,empirical_variance_ratio_disjoint_over_allpairs,mean_zeta10_hat,mean_zeta01_hat,replicates
null,-3.0913552967470894e-17,6.238322499999997e-05,0.00024364999999999993,6.7345504894098e-05,6.544800409140097e-05,9.006805370435217e-05,9.022713422911915e-05,1.337402605355558,0.32721167169327237,0.32726836922073715,2000
efficiency_gain,0.36248777333180304,0.362465852865,0.36244055000000003,5.920418276365297e-05,6.047074334078095e-05,7.612614376938471e-05,7.836705391311759e-05,1.2858237410908167,0.48636133743934534,0.11834609596846424,2000
success_regression,0.3106364816712778,0.311048810905,0.31120024999999996,6.482042036272718e-05,6.910452029276179e-05,7.655254120810404e-05,8.05585140789433e-05,1.1809942110792455,0.6317118724426498,0.059333330484968,2000
safety_regression,0.41052398770291293,0.41038957406500004,0.41039435,6.114893342875532e-05,6.166662560994317e-05,7.41885473511756e-05,7.548321593247859e-05,1.2132435218614688,0.5477651544633606,0.06890110163607094,2000
joint_gain,0.30597669413889983,0.306155936665,0.30635514999999996,5.689741820829308e-05,5.910745723680015e-05,7.953532113806905e-05,8.304273246502774e-05,1.3978722346750767,0.34975523686031584,0.24131933550768558,2000
weak_gain,0.009900499999999979,0.009518935810000002,0.0094765,6.547623082871199e-05,6.549845141760913e-05,8.834464007003501e-05,9.041594003283318e-05,1.3492627622556275,0.32412248374657143,0.3308620304295198,2000
tie_heavy_null,-4.946168474795342e-18,-1.1843045000000023e-05,2.0999999999999992e-05,4.140283301630192e-05,4.412182098974447e-05,4.847828814407204e-05,5.0899066468314246e-05,1.1708930189628384,0.22058692133990396,0.22063128855754074,2000
tie_heavy_efficiency,0.057998043733088485,0.057915337755000004,0.057924250000000004,4.4447640282465044e-05,4.4816556421422934e-05,5.1335714794897455e-05,5.07738289931262e-05,1.1549705331634852,0.3054202380578003,0.1427453261564291,2000
