n_pairs,method,mean_width,width_mcse,replicates
100,multinomial_dirichlet_cs,0.6496524004793856,0.0018868233826430942,200
100,normal_mixture_cs,0.7312789742727699,7.850462293418875e-18,200
100,betting_mixture_cs,0.6036500000000001,0.001429361745675321,200
100,fixed_wald_ci_invalid_sequentially,0.3450018821469324,0.001040989637187139,200
250,multinomial_dirichlet_cs,0.4435044931968983,0.0008672784972396413,200
250,normal_mixture_cs,0.40282837083491885,7.850462293418875e-18,200
250,betting_mixture_cs,0.3816875,0.0007273534001776576,200
250,fixed_wald_ci_invalid_sequentially,0.21876296973368103,0.00042710324852474215,200
500,multinomial_dirichlet_cs,0.3287235746440379,0.0004365902356148593,200
500,normal_mixture_cs,0.27334767340664523,3.9252311467094376e-18,200
500,betting_mixture_cs,0.2707375,0.00036176541950551204,200
500,fixed_wald_ci_invalid_sequentially,0.1547674547835058,0.0002037943972520433,200
1000,multinomial_dirichlet_cs,0.24243882374103298,0.00024561267423125143,200
1000,normal_mixture_cs,0.19212803857737143,3.9252311467094376e-18,200
1000,betting_mixture_cs,0.19135,0.00020220657753891274,200
1000,fixed_wald_ci_invalid_sequentially,0.1095579478030081,0.00011016706411338024,200
2000,multinomial_dirichlet_cs,0.17796277828670973,0.00012099410286469418,200
2000,normal_mixture_cs,0.1377518517775567,0.0,200
2000,betting_mixture_cs,0.13497499999999998,0.00011317850944415176,200
2000,fixed_wald_ci_invalid_sequentially,0.07750849916798865,5.196266480096577e-05,200
5000,multinomial_dirichlet_cs,0.11772584873167306,4.881171804751e-05,200
5000,normal_mixture_cs,0.08998558099353007,9.813077866773594e-19,200
5000,betting_mixture_cs,0.08449999999999999,7.705517503711257e-05,200
5000,fixed_wald_ci_invalid_sequentially,0.04905543627951014,2.006445221793138e-05,200
10000,multinomial_dirichlet_cs,0.08587382950929716,2.5095821763321178e-05,200
10000,normal_mixture_cs,0.06546037248469867,9.813077866773594e-19,200
10000,betting_mixture_cs,0.059149999999999994,8.374067112222098e-05,200
10000,fixed_wald_ci_invalid_sequentially,0.03469694312580099,1.0025174082075689e-05,200
