scenario,method,replicates,max_pairs,true_net_benefit,true_success_difference,true_safety_difference,admissible,deployments,deployment_rate,rate_ci_lower,rate_ci_upper,mean_pairs_used,mean_pairs_mcse,median_pairs_among_deployments
null,win_only_betting,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,16,0.008,0.0049302968532159265,0.012956077671536958,9945.425,15.06146273399447,1900.0
null,win_only_multinomial,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
null,guarded_betting,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,12,0.006,0.003435594376936234,0.010458448336941664,9965.325,11.361698692866783,2900.0
null,guarded_multinomial,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
null,guarded_normal_mixture,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
null,guarded_repeated_wald,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,598,0.299,0.27933639462131776,0.3194342583857458,7685.775,84.37265966939471,1275.0
null,guarded_group_bonferroni_wald,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,46,0.023,0.017287655978080053,0.030541207128235243,9879.5,19.999746873398173,4500.0
null,guarded_fixed_wald,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,99,0.0495,0.040827254610808245,0.059900004989600644,10000.0,0.0,10000.0
efficiency_gain,win_only_betting,2000,10000,0.36248777333180304,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,117.575,0.6972694511449645,100.0
efficiency_gain,win_only_multinomial,2000,10000,0.36248777333180304,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,137.2,1.017020157125709,150.0
efficiency_gain,guarded_betting,2000,10000,0.36248777333180304,0.0,0.0,True,1932,0.966,0.9571215720934327,0.9730917398404393,4361.825,51.905305217169285,3750.0
efficiency_gain,guarded_multinomial,2000,10000,0.36248777333180304,0.0,0.0,True,1202,0.601,0.5793647479136985,0.6222480085354882,8090.825,48.67437503129856,6950.0
efficiency_gain,guarded_normal_mixture,2000,10000,0.36248777333180304,0.0,0.0,True,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
efficiency_gain,guarded_repeated_wald,2000,10000,0.36248777333180304,0.0,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944,1199.275,26.350742156294192,850.0
efficiency_gain,guarded_group_bonferroni_wald,2000,10000,0.36248777333180304,0.0,0.0,True,1986,0.993,0.9882841374366056,0.9958256539440788,3588.0,44.171574570078434,3000.0
efficiency_gain,guarded_fixed_wald,2000,10000,0.36248777333180304,0.0,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944,10000.0,0.0,10000.0
success_regression,win_only_betting,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,2000,1.0,0.9980829527187469,0.9999999999999998,138.625,1.1066524691609376,100.0
success_regression,win_only_multinomial,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,2000,1.0,0.9980829527187469,0.9999999999999998,172.175,1.6038265765038309,150.0
success_regression,guarded_betting,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,guarded_multinomial,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,guarded_normal_mixture,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,guarded_repeated_wald,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,6,0.003,0.0013756299236301083,0.006529915073935308,9970.45,12.045783442765034,150.0
success_regression,guarded_group_bonferroni_wald,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,guarded_fixed_wald,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,win_only_betting,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,2000,1.0,0.9980829527187469,0.9999999999999998,107.15,0.45627705399241736,100.0
safety_regression,win_only_multinomial,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,2000,1.0,0.9980829527187469,0.9999999999999998,117.2,0.719951387247778,100.0
safety_regression,guarded_betting,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,guarded_multinomial,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,guarded_normal_mixture,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,guarded_repeated_wald,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,39,0.0195,0.014297256348690845,0.026545026088593226,9808.35,30.39076979528479,100.0
safety_regression,guarded_group_bonferroni_wald,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,guarded_fixed_wald,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
joint_gain,win_only_betting,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,145.05,1.1927903210539559,150.0
joint_gain,win_only_multinomial,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,183.7,1.7068699423213247,150.0
joint_gain,guarded_betting,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1426.8,15.490267266900211,1300.0
joint_gain,guarded_multinomial,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,3608.375,29.250180421452104,3500.0
joint_gain,guarded_normal_mixture,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
