scenario,method,replicates,max_pairs,true_net_benefit,true_success_difference,true_safety_difference,admissible,deployments,deployment_rate,rate_ci_lower,rate_ci_upper,mean_pairs_used,mean_pairs_mcse,median_pairs_among_deployments
null,win_only_betting,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,11,0.0055,0.003073897009543817,0.009822062751615332,9959.65,12.96990511723221,1900.0
null,guarded_betting,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,9,0.0045,0.0023692806369618345,0.008530513218759823,9969.575,10.931104001311544,2250.0
null,guarded_normal_mixture,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
null,guarded_repeated_wald,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,621,0.3105,0.2906011940451635,0.3311253668744313,7549.1,86.69542718621322,1100.0
null,guarded_group_bonferroni_wald,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,33,0.0165,0.01177282360725337,0.023080961113718216,9899.5,19.005259140564224,4000.0
null,guarded_fixed_wald,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,86,0.043,0.03495107254461269,0.05280110867045247,10000.0,0.0,10000.0
efficiency_gain,win_only_betting,2000,10000,0.36248777333180304,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,117.525,0.7225387100356628,100.0
efficiency_gain,guarded_betting,2000,10000,0.36248777333180304,0.0,0.0,True,1937,0.9685,0.9599017692818405,0.9753019574156255,4309.55,50.70857322731532,3750.0
efficiency_gain,guarded_normal_mixture,2000,10000,0.36248777333180304,0.0,0.0,True,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
efficiency_gain,guarded_repeated_wald,2000,10000,0.36248777333180304,0.0,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944,1136.6,24.88719992285191,800.0
efficiency_gain,guarded_group_bonferroni_wald,2000,10000,0.36248777333180304,0.0,0.0,True,1986,0.993,0.9882841374366056,0.9958256539440788,3535.5,42.94030594907307,3000.0
efficiency_gain,guarded_fixed_wald,2000,10000,0.36248777333180304,0.0,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944,10000.0,0.0,10000.0
success_regression,win_only_betting,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,2000,1.0,0.9980829527187469,0.9999999999999998,139.575,1.109632681340993,150.0
success_regression,guarded_betting,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,guarded_normal_mixture,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,guarded_repeated_wald,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,7,0.0035,0.0016964316970424177,0.007207196253241745,9965.475,13.026545481726759,100.0
success_regression,guarded_group_bonferroni_wald,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
success_regression,guarded_fixed_wald,2000,10000,0.3106364816712778,-0.09999999999999998,0.0,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,win_only_betting,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,2000,1.0,0.9980829527187469,0.9999999999999998,106.6,0.42067802414673416,100.0
safety_regression,guarded_betting,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,guarded_normal_mixture,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,guarded_repeated_wald,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,41,0.0205,0.01514715886374858,0.02769128947897298,9798.85,31.096633077392756,100.0
safety_regression,guarded_group_bonferroni_wald,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
safety_regression,guarded_fixed_wald,2000,10000,0.41052398770291293,0.0,-0.020000000000000018,False,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
joint_gain,win_only_betting,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,144.275,1.186059521061232,150.0
joint_gain,guarded_betting,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1436.0,15.78031210084262,1300.0
joint_gain,guarded_normal_mixture,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,0,0.0,1.0842021724855044e-19,0.001917047281252934,10000.0,0.0,
joint_gain,guarded_repeated_wald,2000,10000,0.30597669413889983,0.08999999999999997,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,281.125,6.140439087516461,200.0
