scenario,net_benefit,success_difference,compliance_difference,success_a,success_b,compliance_a,compliance_b,mean_cost_a,mean_cost_b,mean_efficiency_a,mean_efficiency_b,efficiency_difference,weighted_utility_difference,pareto_population,component_guardrails_true,guarded_win_region_true
null,0.0,0.0,0.0,0.75,0.75,0.995,0.995,1.1065532454978906,1.1065532454978906,0.5,0.5,0.0,0.0,equivalent,True,False
efficiency_gain,0.36248777333180304,0.0,0.0,0.75,0.75,0.995,0.995,0.6086042850238399,1.1065532454978906,0.6389652790629659,0.5,0.13896527906296585,0.013896527906296585,A_dominates_B,True,True
success_regression,0.3106364816712778,-0.09999999999999998,0.0,0.65,0.75,0.995,0.995,0.44262129819915624,1.1065532454978906,0.7060273279518249,0.5,0.20602732795182488,-0.0593972672048175,tradeoff,False,False
safety_regression,0.41052398770291293,0.0,-0.020000000000000018,0.75,0.75,0.975,0.995,0.4979489604740508,1.1065532454978906,0.6820290290546931,0.5,0.1820290290546931,0.01620290290546931,tradeoff,False,False
joint_gain,0.30597669413889983,0.08999999999999997,0.0,0.84,0.75,0.995,0.995,0.829914934123418,1.1065532454978906,0.5681931114492808,0.5,0.06819311144928075,0.07881931114492806,A_dominates_B,True,True
weak_gain,0.009900499999999979,0.010000000000000009,0.0,0.76,0.75,0.995,0.995,1.1065532454978906,1.1065532454978906,0.5,0.5,0.0,0.008000000000000007,A_dominates_B,True,True
