pair_index,block,n,z,decisive_tier,success_diff,n_win,n_loss,n_tie,n_succ_pos,n_succ_neg,nb_hat,succ_diff_hat,log_e_win,log_e_gate,log_e_harm,win_cross,gate_cross,deploy,harm
1,1,1,0,-1,0,0,0,1,0,0,0.0,0.0,0.0,0.003625048521672003,0.0,False,False,False,False
2,1,2,0,-1,0,0,0,2,0,0,0.0,0.0,0.0,0.007298704877875206,0.0,False,False,False,False
3,1,3,1,0,1,1,0,2,1,0,0.3333333333333333,0.3333333333333333,0.11133283533037641,0.12780153550395346,-0.1252989463988574,False,False,False,False
4,1,4,1,0,1,2,0,2,2,0,0.5,0.5,0.2628855399485279,0.29413303063658214,-0.18679917547900793,False,False,False,False
5,1,5,0,-1,0,2,0,3,2,0,0.4,0.4,0.2628855399485279,0.30153580495123444,-0.18679917547900793,False,False,False,False
6,1,6,1,0,1,3,0,3,3,0,0.5,0.5,0.46784894010176314,0.5315330865811325,-0.23028364025592696,False,False,False,False
7,1,7,0,-1,0,3,0,4,3,0,0.42857142857142855,0.42857142857142855,0.46784894010176314,0.5418401019964159,-0.23028364025592696,False,False,False,False
8,1,8,0,-1,0,3,0,5,3,0,0.375,0.375,0.46784894010176314,0.5522742433314796,-0.23028364025592696,False,False,False,False
9,1,9,0,-1,0,3,0,6,3,0,0.3333333333333333,0.3333333333333333,0.46784894010176314,0.562836427661582,-0.23028364025592696,False,False,False,False
10,1,10,0,-1,0,3,0,7,3,0,0.3,0.3,0.46784894010176314,0.5735275527737911,-0.23028364025592696,False,False,False,False
11,1,11,1,0,1,4,0,7,4,0,0.36363636363636365,0.36363636363636365,0.7383803233959125,0.8909163017359218,-0.2641975829530421,False,False,False,False
12,1,12,0,-1,0,4,0,8,4,0,0.3333333333333333,0.3333333333333333,0.7383803233959125,0.905033964303033,-0.2641975829530421,False,False,False,False
13,1,13,-1,0,-1,4,1,8,4,1,0.23076923076923078,0.23076923076923078,0.21160483912145311,0.28077676164572907,-0.23697921874894146,False,False,False,False
