arm,variant,episodes,successes,model_calls,call_records,prompt_tokens,completion_tokens,total_tokens,tokens_estimated_episodes,latency_sum_s,latency_mean_s,latency_median_s,n_executions_incl_hidden_verifier,agent_self_test_executions,verify_seconds_sum
A,single_shot,591,433,591,591,71218,41491,112709,0,1654.5986205209047,2.7996592563805494,2.079464666545391,591,0,31.36548403929919
B,self_test_repair,591,433,1748,1748,528191,185088,713279,0,7373.376646980643,12.47610261756454,10.131067499518394,1748,1157,9.67181489802897
