pair_index,n,z,decisive_tier,success_diff,n_win,n_loss,n_tie,n_succ_pos,n_succ_neg,nb_hat,succ_diff_hat,log_e_win,log_e_gate,log_e_harm,e_win,e_gate,e_harm,win_cross,gate_cross,deploy,harm
40,40,-1,0,-1,8,28,4,8,9,-0.5,-0.025,-0.50134817700286,-0.1677993957411945,3.328670467039768,0.6057134999874251,0.845523433274625,27.90122143886331,False,False,False,True
41,41,-1,1,0,8,29,4,8,9,-0.5121951219512195,-0.024390243902439025,-0.5094503320633139,-0.16666194954946478,3.7104809563791075,0.6008257427100022,0.8464857178535372,40.873460151739486,False,False,False,True
42,42,-1,0,-1,8,30,4,8,10,-0.5238095238095238,-0.047619047619047616,-0.517264049924397,-0.20432337574508574,4.105492659664856,0.5961493536578583,0.8151987130680386,60.67262814242725,False,False,False,True
43,43,1,0,1,9,30,4,9,10,-0.4883720930232558,-0.023255813953488372,-0.50977359709684,-0.17146921454016217,3.4082427851181865,0.600631548145989,0.842426202098837,30.212108421001492,False,False,False,True
44,44,-1,1,0,9,31,4,9,10,-0.5,-0.022727272727272728,-0.51756435954043,-0.17036886254166506,3.782250393964754,0.5959703511537949,0.8433536776351024,43.91475612292617,False,False,False,True
45,45,1,1,0,10,31,4,9,10,-0.4666666666666667,-0.022222222222222223,-0.5100941493441367,-0.16926385154886514,3.144236411884688,0.6004390452087064,0.8442861077976186,23.201951972639943,False,False,False,True
46,46,-1,1,0,10,32,4,9,10,-0.4782608695652174,-0.021739130434782608,-0.5178623217858744,-0.1681541505763411,3.4989217513253767,0.5957928009426902,0.8452235329471319,33.079764509938045,False,False,False,True
47,47,1,1,0,11,32,4,9,10,-0.44680851063829785,-0.02127659574468085,-0.510412053595493,-0.16703972839477466,2.9114121392546273,0.6002481934214589,0.8461659938527597,18.382739234470325,False,False,False,False
48,48,-1,1,0,11,33,4,9,10,-0.4583333333333333,-0.020833333333333332,-0.5181579892650325,-0.16592055352896384,3.248109353692968,0.5956166704264508,0.8471135316967499,25.741625571581302,False,False,False,True
49,49,-1,1,0,11,34,4,9,10,-0.46938775510204084,-0.02040816326530612,-0.5256442343307448,-0.1647965942558245,3.598244840163719,0.5911743868251362,0.8480661880793002,36.53405503154274,False,False,False,True
50,50,-1,1,0,11,35,4,9,10,-0.48,-0.02,-0.5328891679372609,-0.16366781860237545,3.9605212370497074,0.5869068453366768,0.849024005023442,52.48467577816518,False,False,False,True
51,51,-1,1,0,11,36,4,9,10,-0.49019607843137253,-0.0196078431372549,-0.5399092761634203,-0.1625341943437082,4.333786969295787,0.5828011239295241,0.8499870249799878,76.23243050236992,False,False,False,True
52,52,0,-1,0,11,36,5,9,10,-0.4807692307692308,-0.019230769230769232,-0.5399092761634203,-0.16139568900094536,4.333786969295787,0.5828011239295241,0.8509552908325414,76.23243050236992,False,False,False,True
53,53,-1,1,0,11,37,5,9,10,-0.49056603773584906,-0.018867924528301886,-0.5467194018610853,-0.16025226983918595,4.717037704502578,0.5788456589129407,0.8519288459025715,111.83646882149702,False,False,False,True
