pair_index,n,z,decisive_tier,success_diff,n_win,n_loss,n_tie,n_succ_pos,n_succ_neg,nb_hat,succ_diff_hat,log_e_win,log_e_gate,log_e_harm,e_win,e_gate,e_harm,win_cross,gate_cross,deploy,harm
1,1,1,0,1,1,0,0,1,0,1.0,1.0,0.11133283533037641,0.11750376008222085,-0.1252989463988574,1.117766877256454,1.1246858588470843,0.8822331227435461,False,False,False,False
2,2,-1,1,0,1,1,0,1,0,0.0,0.5,-0.06736285810916343,0.12261697917018877,-0.06736285810916343,0.934855919733584,1.1304513516007422,0.934855919733584,False,False,False,False
3,3,0,-1,0,1,1,1,1,0,0.0,0.3333333333333333,-0.06736285810916343,0.12780153550395346,-0.06736285810916343,0.934855919733584,1.1363274596600328,0.934855919733584,False,False,False,False
4,4,1,0,1,2,1,1,2,0,0.25,0.5,0.004787980014828275,0.29413303063658214,-0.14512707341201114,1.0047994607069344,1.3419624139072341,0.8649123787602336,False,False,False,False
5,5,-1,0,-1,2,2,1,2,1,0.0,0.2,-0.0953771510342567,0.0193744090715664,-0.0953771510342567,0.9090300281932645,1.0195633109166795,0.9090300281932645,False,False,False,False
6,6,1,0,1,3,2,1,3,1,0.16666666666666666,0.3333333333333333,-0.03513167125973293,0.11958823312340883,-0.15948615156214396,0.9654782821461408,1.1270326812939673,0.8525817742403877,False,False,False,False
