n,radius
1,32.03420194250831
20,1.7606251038135525
92,0.4950264429325317
100,0.4656929205179653
150,0.35066030352816463
200,0.2904603232689763
295,0.22870694233462288
400,0.19170114715767347
565,0.1584036325586779
568,0.1579515124940428
569,0.1578016871027217
1000,0.11748645536227836
